"","Index","STAT_422_ID_NUMBER","Full.Address","URL","Model","Street.Address","X","Style","Maintenance","Zip","City","GRAND.LARCENY.5.YR_AVG","listing_price_to_nearest_1000","Parking.Charges","Baths.Full","GRAND.LARCENY.1.YR_AVG","Total.Taxes","GRAND.LARCENY.3.YR_AVG","Fuel","high_schools","Kitchen.Type","walk_score","dogs_allowed","TOTAL.SEVEN.MAJOR.FELONY.OFFENSES.3.YR_AVG","TOTAL.SEVEN.MAJOR.FELONY.OFFENSES.1.YR_AVG","RAPE.5.YR_AVG","Common.Charges","GRAND.LARCENY.OF.MOTOR.VEHICLE.3.YR_AVG","MURDER...NON.NEGL..MANSLAUGHTER.3.YR_AVG","Bedrooms","ROBBERY.1.YR_AVG","FELONY.ASSAULT.5.YR_AVG","MURDER...NON.NEGL..MANSLAUGHTER.1.YR_AVG","Approx.Year.Built","GRAND.LARCENY.OF.MOTOR.VEHICLE.5.YR_AVG","YTD.Enrollment.2011","School","Approx..Interior.Sqft","FELONY.ASSAULT.3.YR_AVG","FELONY.ASSAULT.1.YR_AVG","Deductible..","NOV.Count","BURGLARY.5.YR_AVG","middle_schools1","GRAND.LARCENY.OF.MOTOR.VEHICLE.1.YR_AVG","Total.Rooms","Construction","Beds","BURGLARY.1.YR_AVG","YTD.Attendance.2011","MURDER...NON.NEGL..MANSLAUGHTER.5.YR_AVG","RAPE.3.YR_AVG","Baths.Half","Garage","ROBBERY.5.YR_AVG","ROBBERY.3.YR_AVG","X..Floors.In.Building","RAPE.1.YR_AVG","elem_schools","BURGLARY.3.YR_AVG","cats_allowed","TOTAL.SEVEN.MAJOR.FELONY.OFFENSES.5.YR_AVG","Sold.Price"
"23",2737,NA,"99-52 66th Rd, Rego Park NY, 11374","","High Rise","99-52 66th Rd",NA,"Co-op",850,"11374","Rego Park",443,NA,180,"1",349,2397,410,"OIL","Forest Hills High School (Q440)","Unspecified",91,"Y",752,661,7,631,83,0,"2",44,64,1,1950,86,37009,"28",421,59,58,49,0,138,"Q157",89,5,"Brick",2,114,"91.70%",0,6,"0","NO",76,59,"11",6,"P.S. 175 The Lynn Gross Discovery School (Q175)",133,"Y",818,280000
"24",2833,NA,"70-31 108 St, Forest Hills NY, 11375","","2 Bed 1 Bath/Pvt Te>","70-31 108 St",NA,"Co-op",1275,"11375","Forest Hills",443,NA,165,"1",349,2307,410,"GAS","Hillcrest High School (Q505)","Unspecified",91,"Y",752,661,7,535,83,0,"2",44,64,1,1967,86,37009,"28",77,59,58,50,0,138,"Q157",89,5,"Fireproof",2,114,"91.70%",0,6,"0","NO",76,59,"14",6,"P.S. 196 Grand Central Parkway (Q196)",133,"Y",818,530000
"25",3046,NA,"112-15 72nd Rd, Forest Hills NY, 11375","","The Joylaine","112-15 72 Road",NA,"Condo",745,"11375","Forest Hills",443,NA,192,"1",349,2307,410,"GAS","Hillcrest High School (Q505)","Unspecified",92,"N",752,661,7,185,83,0,"1",44,64,1,1948,86,37009,"28",77,59,58,44,1,138,"Q157",89,3,"Brick",1,114,"91.70%",0,6,"0","NO",76,59,"6",6,"P.S. 196 Grand Central Parkway (Q196)",133,"N",818,335000
"26",3173,81,"118-17 Union Tpke, Forest Hills NY, 11375","http://www.mlsli.com/homes-for-sale/84-55-Daniels-St-Briarwood-NY-11435-190346298","Double-Unit 3-4 Bed>","118-17 Union",NA,"Co-op",1820,"11375","Hills",443,649,200,"3",349,5080,410,"GAS","Queens Metropolitan High School (Q686)","Unspecified",92,"N",752,661,7,1235,83,0,"3",44,64,1,1952,86,37009,"28",201,59,58,50,4,138,"Q190",89,6,"Concrete",2,114,"91.70%",0,6,"0","YES",76,59,"21",6,"P.S. 101 School in the Gardens (Q101)",133,"N",818,NA
"27",3229,62,"112-15 72nd Rd, Forest Hills NY, 11375","http://www.mlsli.com/homes-for-sale/102-14-Lewis-Ave-Corona-NY-11368-188639244","","112-15 72",NA,"Condo",745,"11375","Hills",443,475,192,"1",349,2307,410,"GAS","Hillcrest High School (Q505)","Unspecified",92,"N",752,661,7,185,83,0,"2",44,64,1,2004,86,52936,"24",77,59,58,44,1,138,"Q157",89,4,"Brick",1,114,"92.21%",0,6,"0","NO",76,59,"6",6,"P.S. 196 Grand Central Parkway (Q196)",133,"N",818,NA
"28",3250,NA,"69-07 43rd Ave, Woodside NY, 11377","","2 Bedroom/ 2 Full B>","69-07 43rd Ave",NA,"Condo",465,"11377","Woodside",512,NA,120,"2",459,2148,531,"GAS","Newtown High School (Q455)","Unspecified",92,"N",1238,1105,14,271,152,2,"2",120,151,2,2008,154,39742,"30",458,164,154,40,0,242,"Q125",149,4,"Brick",2,204,"92.79%",2,15,"0","NO",156,145,"5",17,"P.S. 012 James B. Colgate (Q012)",225,"N",1235,545000
"29",3267,NA,"69-07 43rd Ave, Woodside NY, 11377","http://www.mlsli.com/homes-for-sale/69-07-43rd-Ave-Woodside-NY-11377-188866132","2 Bedroom/ 2 Full B>","69-07 43rd",NA,"Condo",465,"11377","Woodside",512,NA,120,"2",459,2148,531,"GAS","Newtown High School (Q455)","Unspecified",92,"N",1238,1105,14,271,152,2,"2",120,151,2,2008,154,39742,"30",458,164,154,40,0,242,"Q125",149,4,"Brick",2,204,"92.79%",2,15,"0","NO",156,145,"5",17,"P.S. 012 James B. Colgate (Q012)",225,"N",1235,545000
"30",3694,NA,"175-20 Wexford Ter, Jamaica Hills NY, 11432","","One Bedroom","175-20 Wexford Ter",NA,"Co-op",773,"11432","Jamaica Estates",466,NA,120,"1",465,2300,479,"GAS","Hillcrest High School (Q505)","Unspecified",95,"N",1170,1104,12,285,149,1,"1",212,124,3,1970,166,27232,"29",358,122,112,46,0,219,"Q238",153,3,"Brick",1,151,"92.14%",1,13,"0","NO",225,215,"6",8,"P.S. 095 Eastwood (Q095)",189,"N",1217,185000
"31",3706,NA,"175-20 Wexford Ter, Jamaica Hills NY, 11432","http://www.mlsli.com/homes-for-sale/175-20-Wexford-Ter-Jamaica-Estates-NY-11432-171416740","One Bedroom","175-20 Wexford",NA,"Co-op",773,"11432","Estates",466,NA,120,"1",465,2300,479,"GAS","Hillcrest High School (Q505)","Unspecified",95,"N",1170,1104,12,285,149,1,"1",212,124,3,1970,166,27232,"29",358,122,112,46,0,219,"Q238",153,3,"Brick",1,151,"92.14%",1,13,"0","NO",225,215,"6",8,"P.S. 095 Eastwood (Q095)",189,"N",1217,185000
"32",3748,NA,"85-15 Main St, Briarwood NY, 11435","","Two Bed/Two Bath/Te>","85-15 Main St",NA,"Co-op",1349,"11435","Briarwood",549,NA,200,"2",529,458,558,"OTHER","Hillcrest High School (Q505)","Unspecified",88,"Y",1490,1355,16,516,195,3,"2",174,229,3,1960,209,37009,"28",53,213,185,50,9,337,"Q217",178,5,"Fireproof",2,267,"91.70%",2,17,"0","YES",230,203,"12",19,"P.S. 117 J. Keld / Briarwood School (Q117)",299,"Y",1574,310000
"33",553,NA,"133-36 41st Rd, Flushing NY, 11355","","Main Street Plaza","133-36 41st Rd",NA,"Condo",712,"11355","Flushing",839,NA,155,"1",936,4613,908,"GAS","John Bowne High School (Q425)","Shared",97,"Y",2019,1874,20,373,198,3,"1",190,256,3,1987,219,34371,"25",390,261,236,43,0,418,"Q189",164,3,"Brick",1,324,"91.90%",4,24,"0","NO",225,203,"15",21,"P.S. 020 John Bowne (Q020)",419,"Y",1985,328000
"34",2222,NA,"134-16A Jewel Ave, Kew Garden Hills NY, 11367","",".","134-16A Jewel Ave",NA,"Condo",737,"11367","Kew Garden Hills",466,NA,33,"1",465,150,479,"OIL","John Bowne High School (Q425)","Shared",82,"Y",1170,1104,12,465,149,1,"1",212,124,3,1950,166,37009,"28",395,122,112,48,0,219,"Q250",153,3,"Brick",1,151,"91.70%",1,13,"0","NO",225,215,"2",8,"P.S. 165 Edith K. Bergtraum (Q165)",189,"Y",1217,340000
"35",110,401,"25-40 Shore Blvd, Astoria NY, 11102","http://www.mlsli.com/homes-for-sale/61-25-98th-St-Rego-Park-NY-11374-194819982","Shore Towers","25-40 Shore",NA,"Co-op",779,"11102","Astoria",691,389,0,"1",696,2800,704,"ELEC","William Cullen Bryant High School (Q445)","None",81,"Y",1854,1767,27,421,193,4,"0",224,322,6,1960,192,37009,"28",338,304,323,43.5329434271659,4,415,"Q126",187,2,"Concrete",2,312,"91.70%",4,23,"0","NO",276,244,"21",19,"P.S. 017 Henry David Thoreau (Q017)",380,"Y",1931,NA
"36",118,395,"25-13 27th St, Astoria NY, 11102","http://www.mlsli.com/homes-for-sale/82-01-Britton-Ave-Elmhurst-NY-11373-190723354","7c","25-13 27",NA,"Condo",498,"11102","Astoria",691,768,0,"1",696,54,704,"GAS","Long Island City High School (Q450)","None",98,"N",1854,1767,27,597,193,4,"1",224,322,6,1939,192,52936,"24",353,304,323,43.5329434271659,0,415,"Q126",187,3,"Brick",1,312,"92.21%",4,23,"0","NO",276,244,"8",19,"P.S. 017 Henry David Thoreau (Q017)",380,"N",1931,NA
"37",119,394,"25-13 27th St, Astoria NY, 11102","http://www.mlsli.com/homes-for-sale/104-61-38th-Ave-Corona-NY-11368-186863977","6A","25-13 27",NA,"Condo",498,"11102","Astoria",691,509,0,"1",696,31,704,"GAS","Long Island City High School (Q450)","None",98,"N",1854,1767,27,170,193,4,"0",224,322,6,2010,192,52936,"24",230,304,323,43.5329434271659,0,415,"Q126",187,2,"Brick",1,312,"92.21%",4,23,"0","NO",276,244,"8",19,"P.S. 017 Henry David Thoreau (Q017)",380,"N",1931,NA
"38",162,NA,"21-16 35th St, Astoria NY, 11105","","The Acropolis","21-16 35",NA,"Co-op",758,"11105","Astoria",691,NA,0,"1",696,836,704,"GAS","Long Island City High School (Q450)","None",96,"Y",1854,1767,27,830,193,4,"1",224,322,6,1960,192,39742,"30",250,304,323,30,0,415,"Q141",187,4,"Brick",1,312,"92.79%",4,23,"0","NO",276,244,"5",19,"P.S. 085 Judge Charles Vallone (Q085)",380,"Y",1931,290000
"39",738,90,"122-15 25th Rd, College Point NY, 11356","http://www.mlsli.com/homes-for-sale/99-40-63-Rd-Rego-Park-NY-11374-195208385","medical condo","122-15 25th",NA,"Co-op",180,"11356","Point",839,139,0,"1",936,4500,908,"GAS","Flushing High School (Q460)","None",80,"N",2019,1874,20,427,198,3,"1",190,256,3,1952,219,37009,"28",180,261,236,43.5329434271659,0,418,"Q185",164,3,"Brick",2,324,"91.70%",4,24,"0","NO",225,203,"2",21,"P.S. 029 Queens (Q029)",419,"N",1985,NA
"40",972,242,"160-15 Powells Cove Blvd, Beechhurst NY, 11357","http://www.mlsli.com/homes-for-sale/136-05-Sanford-Ave-Flushing-NY-11355-187976382","Verdejo","160-15 Powell Cove",NA,"Co-op",719,"11357","Beechhurst",839,225,0,"1",936,3433,908,"GAS","Bayside High School (Q495)","None",59,"N",2019,1874,20,457,198,3,"1",190,256,3,1950,219,34371,"25",409,261,236,44,0,418,"Q194",164,2,"Brick",1,324,"91.90%",4,24,"0","NO",225,203,"3",21,"P.S. 193 Alfred J. Kennedy (Q193)",419,"N",1985,NA
"41",1843,NA,"226-26 Union Tpke, Bayside NY, 11364","","2 Bedroom","226-26 Union Turnpike",NA,"Co-op",881,"11364","Bayside",419,NA,0,"1",408,2969,439,"GAS","Martin Van Buren High School (Q435)","None",59,"N",862,797,4,364,82,0,"2",55,60,0,1954,90,31988,"26",164,63,58,48,0,219,"Q172",72,5,"Brick",2,198,"93.34%",0,3,"0","NO",64,57,"6",6,"P.S. 188 Kingsbury (Q188)",216,"Y",859,230000
"42",2311,NA,"51-14 101st St, Corona NY, 11368","","-","51-14 101st St",NA,"Condo",232,"11368","Corona",613,NA,162,"1",585,2092,616,"GAS","John Bowne High School (Q425)","None",89,"N",1620,1502,26,335,106,5,"2",276,286,1,1986,110,38230,"11",438,290,296,45,0,290,"Q061",105,6,"Brick",2,213,"89.84%",5,28,"0","NO",316,299,"2",26,"P.S. 014 Fairview (Q014)",274,"N",1649,450000
"43",2448,493,"35-21 79th St, Jackson Heights NY, 11372","http://www.mlsli.com/homes-for-sale/59-21-Calloway-St-Rego-Park-NY-11374-185734116","One bedroom","35-21 79th",NA,"Co-op",686,"11372","Heights",610,315,86,"1",679,2426,644,"GAS","Newtown High School (Q455)","None",99,"N",1814,1795,36,488,141,3,"1",339,349,1,1968,157,52936,"24",337,353,368,30,0,307,"Q230",140,4,"Brick",1,235,"92.21%",3,33,"0","NO",344,345,"6",33,"P.S. Q222 - Fire Fighter Christopher A. Santora School (Q222), P.S. 069 Jackson Heights (Q069)",293,"N",1810,NA
"44",2509,836,"87-08 Justice Ave, Elmhurst NY, 11373","http://www.mlsli.com/homes-for-sale/9411-59th-Ave-Elmhurst-NY-11373-195080668","Queens Center Plan","87-08 Justice",NA,"Co-op",606,"11373","Elmhurst",613,339,130,"1",585,2800,616,"GAS","Newtown High School (Q455)","None",97,"N",1620,1502,26,371,106,5,"0",276,286,1,1964,110,52936,"24",423,290,296,46,7,290,"Q073",105,1,"Brick",1,213,"92.21%",5,28,"0","NO",316,299,"1",26,"P.S. 007 Louis F. Simeone (Q007), The 51 Avenue Academy (The Path To Academic Excellence) (Q877), , ",274,"Y",1649,NA
"45",2803,930,"Rego Park NY, 11374","http://www.mlsli.com/homes-for-sale/149-41-258th-St-Rosedale-NY-11422-188809200","1Bedroom"," ",NA,"Condo",595,"11374","Park",443,320,125,"1",349,2408,410,"GAS","Forest Hills High School (Q440)","None",96,"Y",752,661,7,230,83,0,"1",44,64,1,1967,86,27232,"29",382,59,58,49,0,138,"Q157",89,3,"Brick",1,114,"92.14%",0,6,"0","NO",76,59,"6",6,"P.S. 206 The Horace Harding School (Q206)",133,"N",818,NA
"46",3122,716,"71-36 110 St, Forest Hills NY 11375","http://www.mlsli.com/homes-for-sale/162-20-9th-Ave-Beechhurst-NY-11357-189510061","M Line","71-36 110",NA,"Co-op",1280,"11375","Hills",443,180,148,"1",349,2307,410,"OIL","Hillcrest High School (Q505)","None",98,"N",752,661,7,535,83,0,"1",44,64,1,1953,86,34371,"25",316,59,58,46,0,138,"Q157",89,4,"Brick",1,114,"91.90%",0,6,"0","NO",76,59,"7",6,"P.S. 196 Grand Central Parkway (Q196)",133,"Y",818,NA
"47",3161,649,"66-01 Burns St, Forest Hills NY, 11375","http://www.mlsli.com/homes-for-sale/83-40-Austin-St-Kew-Gardens-NY-11415-190773181","Thorton Burns","66-01 Burns",NA,"Co-op",418,"11375","Hills",443,159,148,"1",349,2307,410,"OIL","Queens Metropolitan High School (Q686)","None",88,"N",752,661,7,535,83,0,"0",44,64,1,1956,86,37009,"28",250,59,58,46,0,138,"Q190",89,3,"Brick",1,114,"91.70%",0,6,"0","YES",76,59,"6",6,"P.S. 174 William Sidney Mount (Q174)",133,"Y",818,NA
